time_s,C0 control,M1 acoustic,M2 vortex,M3 water mist
0.0,16.62634615384615,15.97230769230769,16.213269230769228,16.05836538461538
0.009433962264150943,16.62634615384615,16.041153846153843,16.213269230769228,16.144423076923076
0.018867924528301886,16.62634615384615,16.109999999999996,16.213269230769228,16.213269230769228
0.02830188679245283,16.62634615384615,16.185730769230766,16.213269230769228,16.31653846153846
0.03773584905660377,16.62634615384615,16.261461538461536,16.28211538461538,16.385384615384613
0.04716981132075471,16.62634615384615,16.337192307692305,16.368173076923075,16.488653846153845
0.05660377358490566,16.62634615384615,16.412923076923075,16.454230769230765,16.557499999999997
0.0660377358490566,16.62634615384615,16.488653846153845,16.54028846153846,16.66076923076923
0.07547169811320754,16.62634615384615,16.56438461538461,16.609134615384612,16.729615384615382
0.08490566037735849,16.62634615384615,16.64011538461538,16.695192307692306,16.815673076923073
0.09433962264150943,16.62634615384615,16.71584615384615,16.76403846153846,16.86730769230769
0.10377358490566037,16.62634615384615,16.79157692307692,16.815673076923073,16.88451923076923
0.11320754716981132,16.62634615384615,16.86730769230769,16.832884615384614,16.918942307692305
0.12264150943396226,16.62634615384615,16.88451923076923,16.850096153846152,16.936153846153843
0.1320754716981132,16.62634615384615,16.901730769230767,16.86730769230769,16.95336538461538
0.14150943396226415,16.62634615384615,16.936153846153843,16.88451923076923,16.987788461538457
0.1509433962264151,16.62634615384615,16.97057692307692,16.901730769230767,17.022211538461537
0.16037735849056603,16.62634615384615,17.039423076923075,16.901730769230767,17.039423076923075
0.16981132075471697,16.62634615384615,17.108269230769228,16.918942307692305,17.056634615384613
0.1792452830188679,16.62634615384615,17.142692307692304,16.936153846153843,17.09105769230769
0.18867924528301885,16.62634615384615,17.17711538461538,16.95336538461538,17.108269230769228
0.1981132075471698,16.62634615384615,17.17711538461538,16.97057692307692,17.125480769230766
0.20754716981132074,16.62634615384615,17.159903846153842,16.987788461538457,17.108269230769228
0.21698113207547168,16.62634615384615,17.142692307692304,16.97057692307692,17.09105769230769
0.22641509433962265,16.62634615384615,17.108269230769228,16.97057692307692,17.056634615384613
0.2358490566037736,16.62634615384615,17.108269230769228,16.97057692307692,17.039423076923075
0.24528301886792453,16.62634615384615,17.09105769230769,16.97057692307692,17.022211538461537
0.25471698113207547,16.62634615384615,17.07384615384615,16.97057692307692,16.987788461538457
0.2641509433962264,16.62634615384615,17.07384615384615,16.97057692307692,16.97057692307692
0.27358490566037735,16.62634615384615,17.039423076923075,16.97057692307692,16.95336538461538
0.2830188679245283,16.62634615384615,17.039423076923075,16.97057692307692,16.918942307692305
0.29245283018867924,16.62634615384615,17.022211538461537,16.97057692307692,16.901730769230767
0.3018867924528302,16.62634615384615,17.022211538461537,16.95336538461538,16.86730769230769
0.3113207547169811,16.62634615384615,16.987788461538457,16.936153846153843,16.832884615384614
0.32075471698113206,16.62634615384615,16.936153846153843,16.936153846153843,16.815673076923073
0.330188679245283,16.62634615384615,16.86730769230769,16.918942307692305,16.781249999999996
0.33962264150943394,16.62634615384615,16.86730769230769,16.901730769230767,16.76403846153846
0.3490566037735849,16.62634615384615,16.850096153846152,16.901730769230767,16.729615384615382
0.3584905660377358,16.62634615384615,16.815673076923073,16.901730769230767,16.695192307692306
0.36792452830188677,16.62634615384615,16.798461538461535,16.88451923076923,16.66076923076923
0.3773584905660377,16.62634615384615,16.76403846153846,16.86730769230769,16.643557692307688
0.38679245283018865,16.62634615384615,16.729615384615382,16.86730769230769,16.609134615384612
0.3962264150943396,16.62634615384615,16.695192307692306,16.850096153846152,16.591923076923074
0.40566037735849053,16.62634615384615,16.677980769230768,16.832884615384614,16.557499999999997
0.4150943396226415,16.62634615384615,16.643557692307688,16.815673076923073,16.54028846153846
0.4245283018867924,16.62634615384615,16.62634615384615,16.781249999999996,16.52307692307692
0.43396226415094336,16.591923076923074,16.609134615384612,16.76403846153846,16.52307692307692
0.4433962264150943,16.557499999999997,16.591923076923074,16.74682692307692,16.52307692307692
0.4528301886792453,16.591923076923074,16.557499999999997,16.712403846153844,16.505865384615383
0.46226415094339623,16.54602564102564,16.54028846153846,16.677980769230768,16.488653846153845
0.4716981132075472,16.500128205128203,16.52307692307692,16.66076923076923,16.488653846153845
0.4811320754716981,16.454230769230765,16.52307692307692,16.643557692307688,16.488653846153845
0.49056603773584906,16.454230769230765,16.494391025641022,16.609134615384612,16.488653846153845
